1582077985 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1582077985 r b swpd free inact active si so bi bo in cs us sy id wa st
1582077985 6 0 0 63087152 637132 372628 0 0 29 25 55 61 0 0 100 0 0
1582077986 1 0 0 63085944 637144 374800 0 0 0 4 653 718 0 0 100 0 0
1582077987 1 0 0 63084532 637152 374924 0 0 0 0 886 859 0 0 100 0 0
1582077988 1 0 0 63084200 637152 374932 0 0 0 0 953 953 0 0 100 0 0
1582077989 0 0 0 63081788 637152 377256 0 0 392 0 1654 1760 0 0 99 0 0
1582077990 0 0 0 63081600 637156 377272 0 0 0 0 909 896 0 0 100 0 0
1582077991 0 0 0 63082056 637156 377304 0 0 0 0 854 772 0 0 100 0 0
1582077992 0 0 0 63081992 637156 377156 0 0 0 0 1011 892 0 0 100 0 0
1582077993 0 0 0 63082032 637160 377300 0 0 0 0 927 847 0 0 100 0 0
1582077994 1 0 0 63081060 637160 377216 0 0 0 0 904 844 0 0 100 0 0
1582077995 1 0 0 63081420 637164 377348 0 0 0 0 1022 888 0 0 100 0 0
1582077996 2 0 0 63080524 637972 377176 0 0 0 1388 1332 1210 0 0 100 0 0
1582077997 1 0 0 63072544 646252 376668 0 0 0 7452 3132 2902 1 0 99 0 0
1582077998 1 0 0 63063276 653724 376708 0 0 0 7948 3857 3660 0 0 99 0 0
1582077999 1 0 0 63056108 659460 378984 0 0 0 7868 3070 2642 0 0 99 0 0
1582078000 1 0 0 63047840 668368 379068 0 0 0 9916 3152 2555 0 0 99 0 0
1582078001 1 0 0 63040176 676096 378896 0 0 0 7860 3269 2754 0 0 99 0 0
1582078002 1 0 0 63032072 683584 379244 0 0 0 7948 3087 2689 0 0 99 0 0
1582078003 1 0 0 63023864 692744 378364 0 0 0 7936 3731 3482 0 0 99 0 0
1582078004 1 0 0 63015552 699860 378472 0 0 0 7900 3445 3072 0 0 99 0 0
1582078005 1 0 0 63007172 707988 378368 0 0 0 9964 3451 3029 0 0 99 0 0
1582078006 1 0 0 62999244 716404 378592 0 0 0 8080 3537 3010 0 0 99 0 0
1582078007 1 0 0 62990772 724172 378404 0 0 0 7928 3194 2708 0 0 99 0 0
1582078008 1 0 0 62982828 731968 378460 0 0 0 7924 3353 2883 0 0 99 0 0
1582078009 2 0 0 62975080 729216 388800 0 0 0 7968 3377 2899 1 0 99 0 0
1582078010 1 0 0 62966936 737300 388832 0 0 0 7868 2936 2573 0 0 99 0 0
1582078011 1 0 0 63018536 683048 392740 0 0 0 9908 3069 2630 0 0 99 0 0
1582078012 1 0 0 63009900 696040 388688 0 0 0 7888 3063 2684 0 0 99 0 0
1582078013 1 0 0 63002032 705940 386692 0 0 0 7952 3137 2691 0 0 99 0 0
