1582077984 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1582077984 r b swpd free inact active si so bi bo in cs us sy id wa st
1582077984 6 0 0 61894016 994832 1145052 0 0 34 54 342 657 2 0 98 0 0
1582077985 1 0 0 61892260 994832 1147208 0 0 0 0 1318 2161 0 0 100 0 0
1582077986 1 0 0 61891512 994844 1147256 0 0 0 0 1753 2555 0 0 100 0 0
1582077987 1 0 0 61891008 994844 1147296 0 0 0 0 1761 2633 0 0 100 0 0
1582077988 2 0 0 61891636 994844 1147160 0 0 0 0 1910 2776 0 0 100 0 0
1582077989 0 0 0 61891308 994848 1147272 0 0 0 0 1676 2484 0 0 100 0 0
1582077990 0 0 0 61890848 983456 1158568 0 0 0 0 1697 2492 0 0 100 0 0
1582077991 0 0 0 61890552 983460 1158736 0 0 0 0 1847 2813 0 0 100 0 0
1582077992 0 0 0 61890668 983460 1158720 0 0 0 0 1458 2162 0 0 100 0 0
1582077993 1 0 0 61890984 983460 1158692 0 0 0 0 2015 3069 0 0 100 0 0
1582077994 2 0 0 61890508 983460 1158696 0 0 0 0 1786 2516 0 0 100 0 0
1582077995 2 0 0 61891072 983700 1158464 0 0 0 0 2162 3211 0 0 100 0 0
1582077996 6 0 0 61883264 984568 1165468 0 0 392 2756 41152 77578 14 3 83 0 0
1582077997 15 0 0 61842176 996060 1194428 0 0 0 5936 66396 134751 27 4 69 0 0
1582077998 31 0 0 61811688 1007568 1214376 0 0 0 7376 70900 149231 28 5 66 0 0
1582077999 2 0 0 61785076 1024920 1221380 0 0 0 2396 69307 146768 29 4 67 0 0
1582078000 1 0 0 61746668 1036072 1251276 0 0 0 7324 70373 147543 28 5 67 1 0
1582078001 18 0 0 61705220 1023376 1304016 0 0 0 7508 68219 144396 32 5 63 0 0
1582078002 17 0 0 61675348 1026460 1331164 0 0 0 4524 71155 146288 29 4 67 0 0
1582078003 5 0 0 61664780 1028780 1338964 0 0 0 7444 69126 145692 28 5 67 0 0
1582078004 3 0 0 61650320 1032228 1349384 0 0 0 7516 67783 143828 29 4 66 0 0
1582078005 3 0 0 61629184 1034580 1368692 0 0 0 4536 68732 143277 29 5 66 0 0
1582078006 3 0 0 61623016 1035452 1373696 0 0 0 7884 71567 156577 30 5 65 0 0
1582078007 2 0 0 61606804 1039000 1385604 0 0 0 7632 68229 142436 30 4 65 0 0
1582078008 1 0 0 61574372 1047080 1410356 0 0 0 4484 69296 152671 30 5 65 0 0
1582078009 1 0 0 61542992 1047640 1441832 0 0 0 7560 67444 141885 30 5 65 0 0
1582078010 5 0 0 61534004 1049312 1447528 0 0 0 7700 68300 152165 31 5 64 0 0
1582078011 1 0 0 61521872 1042564 1465872 0 0 0 4536 68755 145438 29 5 66 0 0
1582078012 4 0 0 61506532 1044952 1480012 0 0 0 7652 69799 145731 28 5 67 0 0
1582078013 1 0 0 61499340 1047500 1483936 0 0 0 7800 66950 151697 32 5 63 0 0
1582078014 3 0 0 61476368 1047716 1506560 0 0 0 4396 68572 142854 29 5 66 0 0
1582078015 6 0 0 61460444 1049868 1519736 0 0 0 7708 67993 141064 29 5 66 0 0
1582078016 1 0 0 61441488 1065160 1522548 0 0 0 9828 52825 114239 21 5 74 0 0
1582078017 1 0 0 61442668 1073100 1511616 0 0 0 388 5425 9915 2 1 98 0 0
1582078018 1 0 0 61448776 1077452 1501292 0 0 0 456 2798 3923 0 0 99 0 0
1582078019 1 0 0 61453060 1081576 1492440 0 0 0 0 2156 2981 0 0 100 0 0
1582078020 1 0 0 61459752 1087712 1479340 0 0 0 0 1839 2314 0 0 99 0 0
1582078021 1 0 0 61465316 1082724 1478296 0 0 0 0 1738 2359 0 0 100 0 0
1582078022 1 0 0 61472980 1088836 1464920 0 0 0 0 2396 3260 0 0 100 0 0
1582078023 1 0 0 61480588 1094984 1451520 0 0 0 0 2600 3540 1 0 99 0 0
1582078024 1 0 0 61487236 1099076 1440356 0 0 0 0 1753 2385 0 0 100 0 0
1582078025 1 0 0 61494560 1102400 1430052 0 0 0 208 1768 2501 0 0 100 0 0
1582078026 1 0 0 61499428 1108492 1419096 0 0 0 0 3394 4852 0 0 100 0 0
