1582078088 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1582078088 r b swpd free inact active si so bi bo in cs us sy id wa st
1582078088 6 0 0 61883704 1244868 807332 0 0 22 144 114 105 2 0 98 0 0
1582078089 1 0 0 61882244 1244876 809492 0 0 0 0 390 375 0 0 100 0 0
1582078090 1 0 0 61881344 1244888 809588 0 0 0 0 591 539 0 0 100 0 0
1582078091 1 0 0 61881000 1244888 809592 0 0 0 0 600 568 0 0 100 0 0
1582078092 0 0 0 61881208 1244888 809536 0 0 0 0 654 557 0 0 100 0 0
1582078093 0 0 0 61881368 1244892 809604 0 0 0 0 601 548 0 0 100 0 0
1582078094 0 0 0 61881088 1244892 809564 0 0 0 0 597 556 0 0 100 0 0
1582078095 0 0 0 61881360 1244892 809588 0 0 0 0 716 696 0 0 99 0 0
1582078096 1 0 0 61862824 1244892 827784 0 0 0 36 934 886 1 0 99 0 0
1582078097 22 0 0 61014560 1244900 1655904 0 0 0 0 4691 9752 57 5 38 0 0
1582078098 2 0 0 60443796 1244912 2218764 0 0 0 0 5968 9693 87 4 9 0 0
1582078099 6 0 0 60401840 1244912 2257080 0 0 0 0 5103 3487 17 1 83 0 0
1582078100 4 0 0 60396084 1244912 2261660 0 0 0 0 5058 2794 15 0 85 0 0
1582078101 2 0 0 60392476 1244912 2264344 0 0 0 0 4575 2629 11 0 88 0 0
1582078102 3 0 0 60390272 1244916 2266476 0 0 0 0 4171 2374 9 0 91 0 0
1582078103 6 0 0 60387424 1244916 2269804 0 0 0 0 4043 2367 10 0 90 0 0
1582078104 1 0 0 60383368 1244916 2273192 0 0 0 0 4093 2386 8 0 91 0 0
1582078105 2 0 0 60380896 1244920 2275116 0 0 0 0 4987 3122 11 0 89 0 0
1582078106 3 0 0 60407984 1244920 2248880 0 0 0 0 4858 2898 10 1 90 0 0
1582078107 1 0 0 60401728 1244920 2256152 0 0 0 24 4625 2768 9 0 90 0 0
1582078108 1 0 0 60390828 1244924 2265492 0 0 0 0 4543 2516 10 0 90 0 0
1582078109 1 0 0 60379884 1244924 2276088 0 0 0 0 4486 2512 10 0 90 0 0
1582078110 3 0 0 60369728 1244924 2286376 0 0 0 0 4392 2487 10 0 89 0 0
1582078111 1 0 0 60361544 1244928 2293332 0 0 0 0 4044 2303 8 0 91 0 0
1582078112 3 0 0 60353080 1244928 2302984 0 0 0 0 4477 2538 9 0 91 0 0
1582078113 9 0 0 60348632 1244928 2306656 0 0 0 0 3603 2263 7 0 93 0 0
1582078114 1 0 0 60324452 1244932 2331456 0 0 0 0 4454 2629 11 0 89 0 0
1582078115 1 0 0 60318704 1244932 2335700 0 0 0 0 5052 3029 11 0 89 0 0
1582078116 2 0 0 60319232 1244932 2334948 0 0 0 0 4813 2832 10 0 89 0 0
1582078117 1 0 0 60320628 1244936 2333992 0 0 0 0 4491 2427 10 0 89 0 0
1582078118 2 0 0 60320948 1244936 2333816 0 0 0 0 4125 2280 8 0 91 0 0
1582078119 1 0 0 60320212 1244936 2333756 0 0 0 0 1190 1058 2 0 98 0 0
1582078120 1 0 0 60320468 1244940 2334164 0 0 0 0 674 692 0 0 100 0 0
1582078121 1 0 0 60320200 1244940 2333836 0 0 0 0 661 627 0 0 100 0 0
1582078122 1 0 0 60319544 1244940 2334052 0 0 0 60 708 671 0 0 100 0 0
1582078123 1 0 0 60320040 1244944 2334228 0 0 0 0 722 674 0 0 100 0 0
1582078124 1 0 0 60320280 1244944 2334204 0 0 0 0 675 617 0 0 100 0 0
1582078125 1 0 0 60320608 1244944 2334172 0 0 0 0 671 621 0 0 100 0 0
1582078126 1 0 0 60320468 1244948 2334116 0 0 0 32 690 632 0 0 100 0 0
1582078127 1 0 0 60320184 1244948 2334316 0 0 0 12 676 626 0 0 100 0 0
1582078128 2 0 0 61169976 1244976 1499932 0 0 0 0 1657 1232 0 0 99 0 0
1582078129 1 0 0 61879136 1245000 810092 0 0 0 0 1365 1087 0 0 100 0 0
1582078130 1 0 0 61880012 1245000 809576 0 0 0 0 624 554 0 0 100 0 0
1582078131 1 0 0 61879796 1245000 809940 0 0 0 0 681 628 0 0 100 0 0
1582078132 1 0 0 61879796 1245004 809880 0 0 0 0 620 543 0 0 100 0 0
1582078133 1 0 0 61880144 1245004 809664 0 0 0 0 633 553 0 0 100 0 0
1582078134 1 0 0 61880164 1245008 809620 0 0 0 0 585 570 0 0 100 0 0
1582078135 1 0 0 61880580 1245008 809756 0 0 0 0 658 562 0 0 100 0 0
1582078136 1 0 0 61880480 1245012 809856 0 0 0 0 669 555 0 0 100 0 0
1582078137 1 0 0 61880448 1245012 809764 0 0 0 0 690 613 0 0 100 0 0
1582078138 1 0 0 61880176 1245016 809688 0 0 0 0 695 637 0 0 100 0 0
