1582078088 PING 192.168.4.118 (192.168.4.118) 56(84) bytes of data.
1582078088 64 bytes from 192.168.4.118: icmp_seq=1 ttl=64 0.127 ms
1582078089 64 bytes from 192.168.4.118: icmp_seq=2 ttl=64 0.093 ms
1582078090 64 bytes from 192.168.4.118: icmp_seq=3 ttl=64 0.099 ms
1582078091 64 bytes from 192.168.4.118: icmp_seq=4 ttl=64 0.101 ms
1582078092 64 bytes from 192.168.4.118: icmp_seq=5 ttl=64 0.095 ms
1582078093 64 bytes from 192.168.4.118: icmp_seq=6 ttl=64 0.094 ms
1582078094 64 bytes from 192.168.4.118: icmp_seq=7 ttl=64 0.098 ms
1582078095 64 bytes from 192.168.4.118: icmp_seq=8 ttl=64 0.109 ms
1582078096 64 bytes from 192.168.4.118: icmp_seq=9 ttl=64 0.102 ms
1582078097 64 bytes from 192.168.4.118: icmp_seq=10 ttl=64 0.106 ms
1582078098 64 bytes from 192.168.4.118: icmp_seq=11 ttl=64 0.104 ms
1582078099 64 bytes from 192.168.4.118: icmp_seq=12 ttl=64 0.098 ms
1582078100 64 bytes from 192.168.4.118: icmp_seq=13 ttl=64 0.092 ms
1582078101 64 bytes from 192.168.4.118: icmp_seq=14 ttl=64 0.085 ms
1582078102 64 bytes from 192.168.4.118: icmp_seq=15 ttl=64 0.092 ms
1582078103 64 bytes from 192.168.4.118: icmp_seq=16 ttl=64 0.109 ms
1582078104 64 bytes from 192.168.4.118: icmp_seq=17 ttl=64 0.102 ms
1582078105 64 bytes from 192.168.4.118: icmp_seq=18 ttl=64 0.103 ms
1582078106 64 bytes from 192.168.4.118: icmp_seq=19 ttl=64 0.098 ms
1582078107 64 bytes from 192.168.4.118: icmp_seq=20 ttl=64 0.082 ms
1582078108 64 bytes from 192.168.4.118: icmp_seq=21 ttl=64 0.085 ms
1582078109 64 bytes from 192.168.4.118: icmp_seq=22 ttl=64 0.097 ms
1582078110 64 bytes from 192.168.4.118: icmp_seq=23 ttl=64 0.098 ms
1582078111 64 bytes from 192.168.4.118: icmp_seq=24 ttl=64 0.098 ms
1582078112 64 bytes from 192.168.4.118: icmp_seq=25 ttl=64 0.097 ms
1582078113 64 bytes from 192.168.4.118: icmp_seq=26 ttl=64 0.097 ms
1582078114 64 bytes from 192.168.4.118: icmp_seq=27 ttl=64 0.072 ms
1582078115 64 bytes from 192.168.4.118: icmp_seq=28 ttl=64 0.097 ms
1582078116 64 bytes from 192.168.4.118: icmp_seq=29 ttl=64 0.089 ms
1582078117 64 bytes from 192.168.4.118: icmp_seq=30 ttl=64 0.099 ms
1582078118 64 bytes from 192.168.4.118: icmp_seq=31 ttl=64 0.114 ms
1582078119 64 bytes from 192.168.4.118: icmp_seq=32 ttl=64 0.089 ms
1582078120 64 bytes from 192.168.4.118: icmp_seq=33 ttl=64 0.095 ms
1582078121 64 bytes from 192.168.4.118: icmp_seq=34 ttl=64 0.093 ms
1582078122 64 bytes from 192.168.4.118: icmp_seq=35 ttl=64 0.099 ms
1582078124 64 bytes from 192.168.4.118: icmp_seq=36 ttl=64 0.093 ms
1582078125 64 bytes from 192.168.4.118: icmp_seq=37 ttl=64 0.101 ms
1582078126 64 bytes from 192.168.4.118: icmp_seq=38 ttl=64 0.100 ms
1582078127 64 bytes from 192.168.4.118: icmp_seq=39 ttl=64 0.098 ms
1582078128 64 bytes from 192.168.4.118: icmp_seq=40 ttl=64 0.093 ms
1582078129 64 bytes from 192.168.4.118: icmp_seq=41 ttl=64 0.097 ms
1582078130 64 bytes from 192.168.4.118: icmp_seq=42 ttl=64 0.100 ms
1582078131 64 bytes from 192.168.4.118: icmp_seq=43 ttl=64 0.099 ms
1582078132 64 bytes from 192.168.4.118: icmp_seq=44 ttl=64 0.093 ms
1582078133 64 bytes from 192.168.4.118: icmp_seq=45 ttl=64 0.101 ms
1582078134 64 bytes from 192.168.4.118: icmp_seq=46 ttl=64 0.111 ms
1582078135 64 bytes from 192.168.4.118: icmp_seq=47 ttl=64 0.098 ms
1582078136 64 bytes from 192.168.4.118: icmp_seq=48 ttl=64 0.085 ms
1582078137 64 bytes from 192.168.4.118: icmp_seq=49 ttl=64 0.100 ms
1582078138 64 bytes from 192.168.4.118: icmp_seq=50 ttl=64 0.102 ms
1582078139 64 bytes from 192.168.4.118: icmp_seq=51 ttl=64 0.127 ms
1582078140 64 bytes from 192.168.4.118: icmp_seq=52 ttl=64 0.106 ms
1582078141 64 bytes from 192.168.4.118: icmp_seq=53 ttl=64 0.103 ms
1582078142 64 bytes from 192.168.4.118: icmp_seq=54 ttl=64 0.108 ms
1582078143 64 bytes from 192.168.4.118: icmp_seq=55 ttl=64 0.106 ms
1582078144 64 bytes from 192.168.4.118: icmp_seq=56 ttl=64 0.103 ms
1582078145 64 bytes from 192.168.4.118: icmp_seq=57 ttl=64 0.107 ms
1582078146 64 bytes from 192.168.4.118: icmp_seq=58 ttl=64 0.107 ms
1582078147 64 bytes from 192.168.4.118: icmp_seq=59 ttl=64 0.105 ms
1582078148 64 bytes from 192.168.4.118: icmp_seq=60 ttl=64 0.109 ms
1582078149 64 bytes from 192.168.4.118: icmp_seq=61 ttl=64 0.078 ms
1582078150 64 bytes from 192.168.4.118: icmp_seq=62 ttl=64 0.101 ms
1582078151 64 bytes from 192.168.4.118: icmp_seq=63 ttl=64 0.093 ms
1582078152 64 bytes from 192.168.4.118: icmp_seq=64 ttl=64 0.098 ms
1582078153 64 bytes from 192.168.4.118: icmp_seq=65 ttl=64 0.093 ms
1582078154 64 bytes from 192.168.4.118: icmp_seq=66 ttl=64 0.098 ms
1582078155 64 bytes from 192.168.4.118: icmp_seq=67 ttl=64 0.080 ms
1582078156 64 bytes from 192.168.4.118: icmp_seq=68 ttl=64 0.099 ms
1582078157 64 bytes from 192.168.4.118: icmp_seq=69 ttl=64 0.093 ms
1582078158 64 bytes from 192.168.4.118: icmp_seq=70 ttl=64 0.097 ms
1582078159 64 bytes from 192.168.4.118: icmp_seq=71 ttl=64 0.093 ms
1582078160 64 bytes from 192.168.4.118: icmp_seq=72 ttl=64 0.092 ms
1582078161 64 bytes from 192.168.4.118: icmp_seq=73 ttl=64 0.097 ms
1582078162 64 bytes from 192.168.4.118: icmp_seq=74 ttl=64 0.101 ms
1582078163 64 bytes from 192.168.4.118: icmp_seq=75 ttl=64 0.102 ms
1582078164 64 bytes from 192.168.4.118: icmp_seq=76 ttl=64 0.093 ms
1582078165 64 bytes from 192.168.4.118: icmp_seq=77 ttl=64 0.096 ms
1582078167 64 bytes from 192.168.4.118: icmp_seq=78 ttl=64 0.097 ms
1582078168 64 bytes from 192.168.4.118: icmp_seq=79 ttl=64 0.108 ms
1582078169 64 bytes from 192.168.4.118: icmp_seq=80 ttl=64 0.103 ms
1582078170 64 bytes from 192.168.4.118: icmp_seq=81 ttl=64 0.119 ms
1582078171 64 bytes from 192.168.4.118: icmp_seq=82 ttl=64 0.082 ms
1582078172 64 bytes from 192.168.4.118: icmp_seq=83 ttl=64 0.103 ms
