1582078190 PING 192.168.2.243 (192.168.2.243) 56(84) bytes of data.
1582078190 64 bytes from 192.168.2.243: icmp_seq=1 ttl=64 0.124 ms
1582078191 64 bytes from 192.168.2.243: icmp_seq=2 ttl=64 0.104 ms
1582078192 64 bytes from 192.168.2.243: icmp_seq=3 ttl=64 0.121 ms
1582078193 64 bytes from 192.168.2.243: icmp_seq=4 ttl=64 0.103 ms
1582078194 64 bytes from 192.168.2.243: icmp_seq=5 ttl=64 0.101 ms
1582078195 64 bytes from 192.168.2.243: icmp_seq=6 ttl=64 0.107 ms
1582078196 64 bytes from 192.168.2.243: icmp_seq=7 ttl=64 0.112 ms
1582078197 64 bytes from 192.168.2.243: icmp_seq=8 ttl=64 0.105 ms
1582078198 64 bytes from 192.168.2.243: icmp_seq=9 ttl=64 0.084 ms
1582078199 64 bytes from 192.168.2.243: icmp_seq=10 ttl=64 0.113 ms
1582078200 64 bytes from 192.168.2.243: icmp_seq=11 ttl=64 0.121 ms
1582078202 64 bytes from 192.168.2.243: icmp_seq=12 ttl=64 0.076 ms
1582078203 64 bytes from 192.168.2.243: icmp_seq=13 ttl=64 0.101 ms
1582078204 64 bytes from 192.168.2.243: icmp_seq=14 ttl=64 0.090 ms
1582078205 64 bytes from 192.168.2.243: icmp_seq=15 ttl=64 0.098 ms
1582078206 64 bytes from 192.168.2.243: icmp_seq=16 ttl=64 0.104 ms
1582078207 64 bytes from 192.168.2.243: icmp_seq=17 ttl=64 0.096 ms
1582078208 64 bytes from 192.168.2.243: icmp_seq=18 ttl=64 0.123 ms
1582078209 64 bytes from 192.168.2.243: icmp_seq=19 ttl=64 0.084 ms
1582078210 64 bytes from 192.168.2.243: icmp_seq=20 ttl=64 0.082 ms
1582078211 64 bytes from 192.168.2.243: icmp_seq=21 ttl=64 0.100 ms
1582078212 64 bytes from 192.168.2.243: icmp_seq=22 ttl=64 0.099 ms
1582078213 64 bytes from 192.168.2.243: icmp_seq=23 ttl=64 0.110 ms
1582078214 64 bytes from 192.168.2.243: icmp_seq=24 ttl=64 0.102 ms
1582078215 64 bytes from 192.168.2.243: icmp_seq=25 ttl=64 0.082 ms
1582078216 64 bytes from 192.168.2.243: icmp_seq=26 ttl=64 0.099 ms
1582078217 64 bytes from 192.168.2.243: icmp_seq=27 ttl=64 0.113 ms
1582078218 64 bytes from 192.168.2.243: icmp_seq=28 ttl=64 0.083 ms
1582078219 64 bytes from 192.168.2.243: icmp_seq=29 ttl=64 0.101 ms
1582078220 64 bytes from 192.168.2.243: icmp_seq=30 ttl=64 0.077 ms
1582078221 64 bytes from 192.168.2.243: icmp_seq=31 ttl=64 0.103 ms
1582078222 64 bytes from 192.168.2.243: icmp_seq=32 ttl=64 0.113 ms
1582078223 64 bytes from 192.168.2.243: icmp_seq=33 ttl=64 0.091 ms
1582078224 64 bytes from 192.168.2.243: icmp_seq=34 ttl=64 0.123 ms
1582078225 64 bytes from 192.168.2.243: icmp_seq=35 ttl=64 0.100 ms
1582078226 64 bytes from 192.168.2.243: icmp_seq=36 ttl=64 0.109 ms
1582078227 64 bytes from 192.168.2.243: icmp_seq=37 ttl=64 0.092 ms
1582078228 64 bytes from 192.168.2.243: icmp_seq=38 ttl=64 0.103 ms
1582078229 64 bytes from 192.168.2.243: icmp_seq=39 ttl=64 0.110 ms
1582078230 64 bytes from 192.168.2.243: icmp_seq=40 ttl=64 0.099 ms
1582078231 64 bytes from 192.168.2.243: icmp_seq=41 ttl=64 0.093 ms
1582078232 64 bytes from 192.168.2.243: icmp_seq=42 ttl=64 0.115 ms
1582078233 64 bytes from 192.168.2.243: icmp_seq=43 ttl=64 0.096 ms
1582078234 64 bytes from 192.168.2.243: icmp_seq=44 ttl=64 0.103 ms
1582078235 64 bytes from 192.168.2.243: icmp_seq=45 ttl=64 0.088 ms
1582078236 64 bytes from 192.168.2.243: icmp_seq=46 ttl=64 0.120 ms
1582078237 64 bytes from 192.168.2.243: icmp_seq=47 ttl=64 0.104 ms
1582078238 64 bytes from 192.168.2.243: icmp_seq=48 ttl=64 0.096 ms
1582078239 64 bytes from 192.168.2.243: icmp_seq=49 ttl=64 0.108 ms
1582078240 64 bytes from 192.168.2.243: icmp_seq=50 ttl=64 0.099 ms
1582078241 64 bytes from 192.168.2.243: icmp_seq=51 ttl=64 0.104 ms
1582078242 64 bytes from 192.168.2.243: icmp_seq=52 ttl=64 0.105 ms
1582078244 64 bytes from 192.168.2.243: icmp_seq=53 ttl=64 0.089 ms
1582078245 64 bytes from 192.168.2.243: icmp_seq=54 ttl=64 0.106 ms
1582078246 64 bytes from 192.168.2.243: icmp_seq=55 ttl=64 0.099 ms
1582078247 64 bytes from 192.168.2.243: icmp_seq=56 ttl=64 0.129 ms
