1582078489 PING 192.168.2.243 (192.168.2.243) 56(84) bytes of data.
1582078489 64 bytes from 192.168.2.243: icmp_seq=1 ttl=64 0.159 ms
1582078490 64 bytes from 192.168.2.243: icmp_seq=2 ttl=64 0.137 ms
1582078491 64 bytes from 192.168.2.243: icmp_seq=3 ttl=64 0.125 ms
1582078492 64 bytes from 192.168.2.243: icmp_seq=4 ttl=64 0.131 ms
1582078493 64 bytes from 192.168.2.243: icmp_seq=5 ttl=64 0.137 ms
1582078494 64 bytes from 192.168.2.243: icmp_seq=6 ttl=64 0.123 ms
1582078495 64 bytes from 192.168.2.243: icmp_seq=7 ttl=64 0.120 ms
1582078496 64 bytes from 192.168.2.243: icmp_seq=8 ttl=64 0.118 ms
1582078497 64 bytes from 192.168.2.243: icmp_seq=9 ttl=64 0.137 ms
1582078498 64 bytes from 192.168.2.243: icmp_seq=10 ttl=64 0.216 ms
1582078499 64 bytes from 192.168.2.243: icmp_seq=11 ttl=64 0.093 ms
1582078500 64 bytes from 192.168.2.243: icmp_seq=12 ttl=64 0.103 ms
1582078501 64 bytes from 192.168.2.243: icmp_seq=13 ttl=64 0.105 ms
1582078502 64 bytes from 192.168.2.243: icmp_seq=14 ttl=64 0.111 ms
1582078503 64 bytes from 192.168.2.243: icmp_seq=15 ttl=64 0.116 ms
1582078504 64 bytes from 192.168.2.243: icmp_seq=16 ttl=64 0.095 ms
1582078505 64 bytes from 192.168.2.243: icmp_seq=17 ttl=64 0.096 ms
1582078506 64 bytes from 192.168.2.243: icmp_seq=18 ttl=64 0.094 ms
1582078507 64 bytes from 192.168.2.243: icmp_seq=19 ttl=64 0.094 ms
1582078508 64 bytes from 192.168.2.243: icmp_seq=20 ttl=64 0.098 ms
1582078509 64 bytes from 192.168.2.243: icmp_seq=21 ttl=64 0.105 ms
1582078510 64 bytes from 192.168.2.243: icmp_seq=22 ttl=64 0.116 ms
1582078511 64 bytes from 192.168.2.243: icmp_seq=23 ttl=64 0.111 ms
1582078512 64 bytes from 192.168.2.243: icmp_seq=24 ttl=64 0.109 ms
1582078513 64 bytes from 192.168.2.243: icmp_seq=25 ttl=64 0.101 ms
1582078514 64 bytes from 192.168.2.243: icmp_seq=26 ttl=64 0.109 ms
1582078515 64 bytes from 192.168.2.243: icmp_seq=27 ttl=64 0.094 ms
1582078516 64 bytes from 192.168.2.243: icmp_seq=28 ttl=64 0.095 ms
1582078517 64 bytes from 192.168.2.243: icmp_seq=29 ttl=64 0.101 ms
1582078518 64 bytes from 192.168.2.243: icmp_seq=30 ttl=64 0.102 ms
1582078520 64 bytes from 192.168.2.243: icmp_seq=31 ttl=64 0.137 ms
1582078521 64 bytes from 192.168.2.243: icmp_seq=32 ttl=64 0.127 ms
1582078522 64 bytes from 192.168.2.243: icmp_seq=33 ttl=64 0.132 ms
1582078523 64 bytes from 192.168.2.243: icmp_seq=34 ttl=64 0.132 ms
1582078524 64 bytes from 192.168.2.243: icmp_seq=35 ttl=64 0.123 ms
1582078525 64 bytes from 192.168.2.243: icmp_seq=36 ttl=64 0.130 ms
1582078526 64 bytes from 192.168.2.243: icmp_seq=37 ttl=64 0.121 ms
1582078527 64 bytes from 192.168.2.243: icmp_seq=38 ttl=64 0.127 ms
1582078528 64 bytes from 192.168.2.243: icmp_seq=39 ttl=64 0.084 ms
1582078529 64 bytes from 192.168.2.243: icmp_seq=40 ttl=64 0.094 ms
1582078530 64 bytes from 192.168.2.243: icmp_seq=41 ttl=64 0.112 ms
1582078531 64 bytes from 192.168.2.243: icmp_seq=42 ttl=64 0.106 ms
1582078532 64 bytes from 192.168.2.243: icmp_seq=43 ttl=64 0.124 ms
1582078533 64 bytes from 192.168.2.243: icmp_seq=44 ttl=64 0.131 ms
1582078534 64 bytes from 192.168.2.243: icmp_seq=45 ttl=64 0.138 ms
1582078535 64 bytes from 192.168.2.243: icmp_seq=46 ttl=64 0.122 ms
1582078536 64 bytes from 192.168.2.243: icmp_seq=47 ttl=64 0.136 ms
1582078537 64 bytes from 192.168.2.243: icmp_seq=48 ttl=64 0.122 ms
1582078538 64 bytes from 192.168.2.243: icmp_seq=49 ttl=64 0.121 ms
1582078539 64 bytes from 192.168.2.243: icmp_seq=50 ttl=64 0.128 ms
1582078540 64 bytes from 192.168.2.243: icmp_seq=51 ttl=64 0.112 ms
1582078541 64 bytes from 192.168.2.243: icmp_seq=52 ttl=64 0.119 ms
1582078542 64 bytes from 192.168.2.243: icmp_seq=53 ttl=64 0.117 ms
1582078543 64 bytes from 192.168.2.243: icmp_seq=54 ttl=64 0.131 ms
1582078544 64 bytes from 192.168.2.243: icmp_seq=55 ttl=64 0.122 ms
1582078545 64 bytes from 192.168.2.243: icmp_seq=56 ttl=64 0.115 ms
1582078546 64 bytes from 192.168.2.243: icmp_seq=57 ttl=64 0.128 ms
1582078547 64 bytes from 192.168.2.243: icmp_seq=58 ttl=64 0.119 ms
1582078548 64 bytes from 192.168.2.243: icmp_seq=59 ttl=64 0.126 ms
1582078549 64 bytes from 192.168.2.243: icmp_seq=60 ttl=64 0.139 ms
1582078550 64 bytes from 192.168.2.243: icmp_seq=61 ttl=64 0.128 ms
1582078551 64 bytes from 192.168.2.243: icmp_seq=62 ttl=64 0.129 ms
1582078552 64 bytes from 192.168.2.243: icmp_seq=63 ttl=64 0.130 ms
1582078553 64 bytes from 192.168.2.243: icmp_seq=64 ttl=64 0.112 ms
