1705418104 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705418104 r b swpd free inact active si so bi bo in cs us sy id wa st
1705418104 8 0 0 58380792 3084308 3025752 0 0 15 209 903 851 3 1 96 0 0
1705418105 1 0 0 58379664 3084328 3027580 0 0 0 0 1095 1336 0 0 100 0 0
1705418106 1 0 0 58379900 3084332 3027620 0 0 0 0 1522 1869 0 0 100 0 0
1705418107 1 0 0 58379632 3084332 3027264 0 0 0 0 1340 1663 0 0 100 0 0
1705418108 1 0 0 58379036 3084332 3027564 0 0 0 0 1449 1823 0 0 100 0 0
1705418109 0 0 0 58379268 3084336 3027336 0 0 0 0 1892 2225 0 0 100 0 0
1705418110 0 0 0 58379060 3084336 3027760 0 0 0 0 1257 1559 0 0 100 0 0
1705418111 0 0 0 58378996 3084336 3027636 0 0 0 0 1551 1874 0 0 100 0 0
1705418112 0 0 0 58378712 3084340 3027860 0 0 0 0 1554 2119 0 0 100 0 0
1705418113 0 0 0 58378720 3085148 3027704 0 0 0 456 45595 40289 7 2 91 0 0
1705418114 3 0 0 58374136 3089592 3027764 0 0 0 1124 126050 110238 20 7 72 0 0
1705418115 6 0 0 58367184 3095032 3030124 0 0 0 1124 123647 104837 23 6 71 0 0
1705418116 4 0 0 58361724 3099948 3030228 0 0 0 1112 125435 107595 23 7 70 0 0
1705418117 4 0 0 58356380 3104328 3030280 0 0 0 1168 125031 108201 19 7 74 0 0
1705418118 11 0 0 58348856 3109972 3032460 0 0 0 1120 124676 105321 23 6 70 0 0
1705418119 3 0 0 58344408 3114972 3032524 0 0 0 1116 123268 105144 24 6 70 0 0
1705418120 10 0 0 58339612 3119748 3032572 0 0 0 1112 125339 107849 21 6 73 0 0
1705418121 11 0 0 58334208 3124328 3032760 0 0 0 1116 124195 105046 23 7 70 0 0
1705418122 10 0 0 58328288 3129920 3034896 0 0 0 1120 122614 103908 25 6 68 0 0
1705418123 7 0 0 58321932 3134844 3035036 0 0 0 1116 125080 108495 20 5 75 0 0
1705418124 4 0 0 58317120 3138660 3035232 0 0 0 1144 124039 105122 24 6 70 0 0
1705418125 3 0 0 58312512 3143796 3035268 0 0 0 1112 123635 105227 23 6 70 0 0
1705418126 1 0 0 58305424 3148688 3037448 0 0 0 1124 124981 107925 20 8 72 0 0
1705418127 16 0 0 58297604 3153328 3039824 0 0 0 1108 122019 102971 23 6 71 0 0
1705418128 2 0 0 58291684 3157992 3039964 0 0 0 58528 121682 104639 24 6 69 1 0
1705418129 8 0 0 58286560 3162732 3042056 0 0 0 1116 125114 108640 19 6 74 0 0
1705418130 2 0 0 58281328 3167764 3042212 0 0 0 1172 124238 106094 23 6 71 0 0
1705418131 6 0 0 58276140 3173048 3042328 0 0 0 1112 122681 104544 22 7 71 0 0
1705418132 4 0 0 58269976 3177948 3042476 0 0 0 1116 126027 108796 20 6 73 0 0
1705418133 3 0 0 58264292 3181948 3045040 0 0 0 804 79467 67921 18 5 78 0 0
1705418134 1 0 0 58264260 3182148 3045100 0 0 0 0 5636 6441 1 0 99 0 0
1705418135 1 0 0 58263316 3182156 3045008 0 0 0 0 1304 1524 0 0 100 0 0
1705418136 2 0 0 58263796 3182156 3045084 0 0 0 0 1558 1811 0 0 100 0 0
1705418137 1 0 0 58262832 3182156 3044888 0 0 0 0 1379 1580 0 0 100 0 0
1705418138 1 0 0 58261476 3182156 3044912 0 0 0 64 1423 1840 0 0 100 0 0
1705418139 1 0 0 58261732 3182160 3045164 0 0 0 0 1862 2220 0 0 100 0 0
1705418140 1 0 0 58262408 3182160 3045384 0 0 0 0 1367 1580 0 0 100 0 0
1705418141 1 0 0 58262060 3182164 3045556 0 0 0 0 1600 1879 0 0 100 0 0
1705418142 1 0 0 58261076 3182168 3045456 0 0 0 0 1392 1648 0 0 100 0 0
1705418143 1 0 0 58261776 3182168 3045172 0 0 0 0 1449 1763 0 0 100 0 0
1705418144 1 0 0 58261388 3182168 3045568 0 0 0 11244 1781 2102 0 0 100 0 0
1705418145 1 0 0 58260972 3182172 3045420 0 0 0 0 1282 1540 0 0 100 0 0
1705418146 1 0 0 58261664 3182172 3045244 0 0 0 0 1532 1818 0 0 100 0 0
1705418147 1 0 0 58261696 3182172 3045320 0 0 0 0 1276 1620 0 0 100 0 0
1705418148 1 0 0 58261460 3182176 3045516 0 0 0 0 1346 1691 0 0 100 0 0
1705418149 1 0 0 58262492 3182180 3045688 0 0 0 0 1794 2039 0 0 100 0 0
1705418150 1 0 0 58261600 3182180 3045392 0 0 0 0 1314 1549 0 0 100 0 0
1705418151 1 0 0 58262504 3182184 3045156 0 0 0 0 1585 1969 0 0 100 0 0
1705418152 1 0 0 58261772 3182184 3045168 0 0 0 0 1270 1608 0 0 100 0 0
