1705418454 PING 18.171.188.45 (18.171.188.45) 56(84) bytes of data.
1705418454 64 bytes from 18.171.188.45: icmp_seq=1 ttl=63 0.287 ms
1705418455 64 bytes from 18.171.188.45: icmp_seq=2 ttl=63 0.243 ms
1705418456 64 bytes from 18.171.188.45: icmp_seq=3 ttl=63 0.255 ms
1705418457 64 bytes from 18.171.188.45: icmp_seq=4 ttl=63 0.265 ms
1705418458 64 bytes from 18.171.188.45: icmp_seq=5 ttl=63 0.239 ms
1705418459 64 bytes from 18.171.188.45: icmp_seq=6 ttl=63 0.256 ms
1705418460 64 bytes from 18.171.188.45: icmp_seq=7 ttl=63 0.257 ms
1705418461 64 bytes from 18.171.188.45: icmp_seq=8 ttl=63 0.258 ms
1705418462 64 bytes from 18.171.188.45: icmp_seq=9 ttl=63 0.256 ms
1705418463 64 bytes from 18.171.188.45: icmp_seq=10 ttl=63 0.254 ms
1705418464 64 bytes from 18.171.188.45: icmp_seq=11 ttl=63 0.227 ms
1705418465 64 bytes from 18.171.188.45: icmp_seq=12 ttl=63 0.235 ms
1705418466 64 bytes from 18.171.188.45: icmp_seq=13 ttl=63 0.239 ms
1705418467 64 bytes from 18.171.188.45: icmp_seq=14 ttl=63 0.234 ms
1705418468 64 bytes from 18.171.188.45: icmp_seq=15 ttl=63 0.265 ms
1705418469 64 bytes from 18.171.188.45: icmp_seq=16 ttl=63 0.234 ms
1705418470 64 bytes from 18.171.188.45: icmp_seq=17 ttl=63 0.267 ms
1705418471 64 bytes from 18.171.188.45: icmp_seq=18 ttl=63 0.246 ms
1705418473 64 bytes from 18.171.188.45: icmp_seq=19 ttl=63 0.235 ms
1705418474 64 bytes from 18.171.188.45: icmp_seq=20 ttl=63 0.242 ms
1705418475 64 bytes from 18.171.188.45: icmp_seq=21 ttl=63 0.226 ms
1705418476 64 bytes from 18.171.188.45: icmp_seq=22 ttl=63 0.248 ms
1705418477 64 bytes from 18.171.188.45: icmp_seq=23 ttl=63 0.235 ms
1705418478 64 bytes from 18.171.188.45: icmp_seq=24 ttl=63 0.257 ms
1705418479 64 bytes from 18.171.188.45: icmp_seq=25 ttl=63 0.244 ms
1705418480 64 bytes from 18.171.188.45: icmp_seq=26 ttl=63 0.233 ms
1705418481 64 bytes from 18.171.188.45: icmp_seq=27 ttl=63 0.241 ms
1705418482 64 bytes from 18.171.188.45: icmp_seq=28 ttl=63 0.237 ms
1705418483 64 bytes from 18.171.188.45: icmp_seq=29 ttl=63 0.235 ms
1705418484 64 bytes from 18.171.188.45: icmp_seq=30 ttl=63 0.251 ms
1705418485 64 bytes from 18.171.188.45: icmp_seq=31 ttl=63 0.249 ms
1705418486 64 bytes from 18.171.188.45: icmp_seq=32 ttl=63 0.254 ms
1705418487 64 bytes from 18.171.188.45: icmp_seq=33 ttl=63 0.249 ms
1705418488 64 bytes from 18.171.188.45: icmp_seq=34 ttl=63 0.253 ms
1705418489 64 bytes from 18.171.188.45: icmp_seq=35 ttl=63 0.244 ms
1705418490 64 bytes from 18.171.188.45: icmp_seq=36 ttl=63 0.257 ms
1705418491 64 bytes from 18.171.188.45: icmp_seq=37 ttl=63 0.267 ms
1705418492 64 bytes from 18.171.188.45: icmp_seq=38 ttl=63 0.250 ms
1705418493 64 bytes from 18.171.188.45: icmp_seq=39 ttl=63 0.257 ms
1705418494 64 bytes from 18.171.188.45: icmp_seq=40 ttl=63 0.263 ms
1705418495 64 bytes from 18.171.188.45: icmp_seq=41 ttl=63 0.247 ms
1705418496 64 bytes from 18.171.188.45: icmp_seq=42 ttl=63 0.246 ms
1705418497 64 bytes from 18.171.188.45: icmp_seq=43 ttl=63 0.262 ms
1705418498 64 bytes from 18.171.188.45: icmp_seq=44 ttl=63 0.268 ms
1705418499 64 bytes from 18.171.188.45: icmp_seq=45 ttl=63 0.257 ms
1705418500 64 bytes from 18.171.188.45: icmp_seq=46 ttl=63 0.251 ms
1705418501 64 bytes from 18.171.188.45: icmp_seq=47 ttl=63 0.253 ms
1705418502 64 bytes from 18.171.188.45: icmp_seq=48 ttl=63 0.256 ms
