1705418513 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705418513 r b swpd free inact active si so bi bo in cs us sy id wa st
1705418513 7 0 0 62420020 721032 799356 0 0 12 77 126 104 2 0 98 0 0
1705418514 1 0 0 62420260 721048 801368 0 0 0 0 286 177 0 0 100 0 0
1705418515 1 0 0 62418692 721052 801412 0 0 0 0 484 395 0 0 100 0 0
1705418516 1 0 0 62417776 721052 801428 0 0 0 0 505 376 0 0 100 0 0
1705418517 1 0 0 62417908 721052 801568 0 0 0 0 519 359 0 0 100 0 0
1705418518 0 0 0 62417444 721056 801488 0 0 0 0 515 379 0 0 100 0 0
1705418519 0 0 0 62416264 721056 801756 0 0 0 0 524 401 0 0 100 0 0
1705418520 0 0 0 62417256 721056 801340 0 0 0 0 531 377 0 0 100 0 0
1705418521 25 0 0 61796652 721064 1401724 0 0 0 64 3838 5647 40 4 56 0 0
1705418522 1 0 0 61327016 721236 1862780 0 0 0 0 6345 5741 60 4 36 0 0
1705418523 2 0 0 61267040 721260 1917080 0 0 0 0 9834 5575 4 1 95 0 0
1705418524 2 0 0 61220756 721260 1951844 0 0 0 0 12354 7622 7 1 92 0 0
1705418525 2 0 0 61213748 721264 1965244 0 0 0 0 11957 6576 7 1 92 0 0
1705418526 1 0 0 61205120 721276 1975060 0 0 0 0 11822 6720 5 1 94 0 0
1705418527 2 0 0 61184352 721280 1998388 0 0 0 0 11569 7113 4 1 96 0 0
1705418528 4 0 0 61170924 721288 2008928 0 0 0 0 11788 7229 4 1 95 0 0
1705418529 1 0 0 61185792 721296 1989832 0 0 0 0 12098 7489 4 1 95 0 0
1705418530 3 0 0 61181488 721304 1993064 0 0 0 0 11532 6748 4 0 95 0 0
1705418531 1 0 0 61178172 721312 1994528 0 0 0 0 11747 6801 4 1 95 0 0
1705418532 2 0 0 61173132 721312 2003940 0 0 0 0 11810 7452 5 1 95 0 0
1705418533 2 0 0 61172524 721316 2003168 0 0 0 0 11806 6938 4 1 96 0 0
1705418534 2 0 0 61171248 721316 2004596 0 0 0 0 11959 6940 4 1 95 0 0
1705418535 2 0 0 61168200 721324 2008640 0 0 0 0 11751 6912 5 0 94 0 0
1705418536 1 0 0 61162128 721340 2013064 0 0 0 0 11344 6623 4 1 95 0 0
1705418537 2 0 0 61158616 721340 2017220 0 0 0 0 12357 7665 4 0 96 0 0
1705418538 1 0 0 61271148 721340 1895712 0 0 0 0 16096 8201 5 1 94 0 0
1705418539 1 0 0 61283540 721352 1888192 0 0 0 0 12755 7910 6 1 94 0 0
1705418540 3 0 0 61282268 721360 1889764 0 0 0 0 11946 7122 5 1 95 0 0
1705418541 1 0 0 61282448 721376 1892460 0 0 0 0 11791 7107 5 1 94 0 0
1705418542 1 0 0 61280412 721384 1893712 0 0 0 0 7594 4885 2 1 97 0 0
1705418543 2 0 0 62415084 721476 801728 0 0 0 0 3489 2708 1 1 99 0 0
1705418544 1 0 0 62415652 721476 801832 0 0 0 0 559 373 0 0 100 0 0
1705418545 1 0 0 62416624 721480 801764 0 0 0 0 528 373 0 0 100 0 0
1705418546 1 0 0 62416696 721480 801956 0 0 0 0 543 370 0 0 100 0 0
1705418547 1 0 0 62416664 721480 801620 0 0 0 0 580 413 0 0 100 0 0
1705418548 1 0 0 62417924 721480 801848 0 0 0 64 524 391 0 0 100 0 0
1705418549 2 0 0 62417432 721484 801916 0 0 0 0 579 382 0 0 100 0 0
1705418550 1 0 0 62417572 721484 801672 0 0 0 0 546 380 0 0 100 0 0
1705418551 2 0 0 62416928 721488 801740 0 0 0 44 580 431 0 0 100 0 0
1705418552 1 0 0 62417740 721488 802088 0 0 0 0 568 376 0 0 100 0 0
1705418553 1 0 0 62417008 721488 801960 0 0 0 340 570 387 0 0 100 0 0
1705418554 1 0 0 62417716 721492 801928 0 0 0 0 463 375 0 0 100 0 0
1705418555 1 0 0 62417556 721492 801784 0 0 0 0 480 375 0 0 100 0 0
1705418556 1 0 0 62418220 721492 801668 0 0 0 0 489 368 0 0 100 0 0
1705418557 1 0 0 62417492 721496 802136 0 0 0 0 504 348 0 0 100 0 0
1705418558 1 0 0 62417160 721496 801732 0 0 0 0 484 369 0 0 100 0 0
1705418559 1 0 0 62417056 721500 801952 0 0 0 0 562 395 0 0 100 0 0
